,사이트,검색 키워드,기업이름,포지션이름,포지션이름 전처리,마감일,상시 채용 여부,경력_min,경력_max,학력,학력 세부정보,제출서류,채용절차,채용형태_전처리,근무시간,근무장소 시,근무장소 구,근무형태,Hard Skill,Soft Skill,Tool,hard plus,soft plus,tool plus,산업군 전처리,설립,사원 수,기업 평균 연봉,기업 유형 전처리,기업 유형 전처리 _세부,매출액,,접수방법,총점,복지 및 급여,업무와 삶의 균형,사내문화,승진 기회,경영진,기업추천율,CEO 지지율,성장 가능성,하이라이트+태그,퇴사,입사,링크
0,원티드,데이터 분석가,제네시스랩,Data Scientist,데이터 사이언티스트,상시채용,1,3,15,999,,자유이력서 (형식 무관),• 서류전형 ▷ AI영상면접(뷰인터HR) ▷ 과제(필요시) ▷ 인터뷰 ▷ 평판조회/처우협의 ▷ 입사,정규직,999,서울,중,999,"통계 분석, 데이터 마이닝, 머신러닝, 딥러닝, 영상 데이터, 음성 데이터, 텍스트 데이터, 데이터 보안, 데이터 전처리",분석적 사고,Python,"딥러닝, 딥러닝 추론 결과 분석 경험, 모델 성능 향상, AI, 데이터 수집, 데이터 수집 설계, 코드 품질 개선",AI 관심,999,제조,2017,70,"5,663",스타트업,999,20억원,,999,3.6,3.3,4.1,3.6,3.2,3.5,72,73,62,"연봉 업계 평균 이상, 지속 성장중인 기업, 일한만큼 받는 보상 ,건강검진
 
 도서구매비
 
 교육비
 
 재택근무
 
 상여금
 
 인공지능
 
 연봉상위11~20%
 
 인원급성장
 
 51~300명
 
 설립4~9년
 
 퇴사율 6~10%
 
 전문, 과학기술",22,26,https://www.wanted.co.kr/wd/106376
1,원티드,데이터 분석가,에어프레미아랩스,Data Analyst,데이터 분석가,2024.4.14,0,5,6,999,,999,999,정규직,999,서울,영등포,999,"데이터 전처리, 데이터 분석 업무 경험","경력 5년, 데이터에 기반한 커뮤니케이션, 논리적 사고, 질문","SQL, Python","A/B 테스트, BI Tool, 데이터 시각화, 대시보드 구축, 데이터마트, 데이터 마트 설계, Airflow, 딥러닝, 데이터 파이프라인 구축, 데이터 품질 향상","새로운 도메인, 학구심, 도메인 지식, 비즈니스 임팩트, 인사이트 도출, 액션 도출, 조직적/기술적 개선",999,항공,2017,343,"5,852",중소기업,999,999,,999,999,999,999,999,999,999,999,999,999,"수평적인 기업 문화
  ,스타트업
 
 IT, 컨텐츠",1,25,999
2,"원티드,잡코리아",데이터 분석가,매드업,[광고사업부] 데이터 분석가,데이터 분석가,2024.5.1,0,3,7,대졸(4년),,"이력서, 포트폴리오",서류 전형 ＞ 1차 인터뷰＞ 2차 인터뷰 ＞ 처우 협의 및 채용 확정,정규직,"주5일 (월~금) 09:00~18:00
탄력근무제",서울,서초,999,"머신러닝, 딥러닝, 프레임워크, 협업 개발 툴, 데이터 분석 기법, 가설 검정, 회귀, 인과관계, 상관관계 분석, 생성형 AI, 프롬프트 엔지니어링","협업, 분석 및 문제 해결능력, 새로운 기술, 창의적 사고, 커뮤니케이션, 통찰력, 경력 3년","TensorFlow, Kersas, PyTorch, ChatGPT, Stable Diffusion, Midjourney, Gemini, Git","Mobile Measurement Platforms, 데이터베이스, 데이터 시각화, AI 개발,  CRM 데이터베이스","컴퓨터 과학 학위, AI 학위, 개발 프로젝트","Google Analytics, Adobe Analytics, SQL, Tableau, Power BI, Looker Studio",마케팅,2015,264,"4,562",벤처기업,비상장,337억,,홈페이지 지원,3.3,3.4,2.2,3.4,3.6,3,55,64,50,"연봉 업계 평균 이상, 지속 성장중인 기업, 수평적인 기업 문화 ,커피
 
 음료
 
 간식
 
 건강검진
 
 스터디지원
 
 재택근무
 
 스타트업
 
 복지포인트
 
 연봉업계평균이상
 
 51~300명
 
 설립4~9년
 
 퇴사율5%이하
 
 누적투자100억이상
 
 IT, 컨텐츠",131,113,https://www.wanted.co.kr/wd/213293
3,원티드,데이터 분석가,이글루코퍼레이션,데이터 분석 엔진 개발,데이터 분석 엔진 개발,2024.4.30,0,6,10,대졸(4년),,999,999,정규직,999,서울,송파,999,"데이터 웨어하우스 설계, 인프라 구축, 데이터 엔지니어링 경험",경력 6년,Java,999,999,"Kubernetes, Kafka, In-memory, RDB, NoSQL, ETL, CEP ",정보 보안,1999,"1,064","4,750",중견기업,999,1030억 ,,999,2.7,2.2,2.8,2.5,2.7,2.1,28,28,8,",단체보험
 
 유연근무
 
 동호회
 
 통신비
 
 연봉업계평균이상
 
 인원급성장
 
 1,001~10,000명
 
 설립10년이상
 
 퇴사율 6~10%
 
 IT, 컨텐츠",250,312,https://www.wanted.co.kr/wd/205486
4,"원티드,사람인",데이터 분석가,빗썸코리아,데이터 분석 개발자,데이터 분석 개발자,상시채용,1,4,12,대졸(4년),,이력서,• 서류전형 ＞ 1차 기술 인터뷰 ＞ 2차 임원 인터뷰 ＞ 최종합격,정규직,주 5일(월~금),서울,강남,999,"대형 플랫폼 데이터, 데이터 구조, 대용량트래픽 시스템, 데이터 설계, 구축, 서비스 관리","개발 조직 협업, 금융 산업 경력",없음,"데이터 파이프라인 구축, 웹 크롤링, RESTful API","관련 전공, 고객 중심 사고, 데이터 기반 의사결정, 협업 능력, 커뮤니케이션",999,금융,2014,395,"9,928",중소기업,999,1조원,,점핏에서 지원,3.2,4,2.8,2.7,3.2,2.5,51,43,40,"연봉 업계 평균 이상, 지속 성장중인 기업, 퇴사율 10% 이하 ,어린이집
 
 음료
 
 샐러드
 
 간식
 
 건강검진
 
 동호회
 
 복지포인트
 
 연봉상위1%
 
 인원급성장
 
 301~1,000명
 
 설립10년이상
 
 퇴사율 6~10%
 
 IT, 컨텐츠",85,105,https://www.wanted.co.kr/wd/214874
5,"원티드,사람인",데이터 분석가,스펙터,데이터 분석가(사이언티스트),"데이터 분석가, 데이터 사이언티스트",2024.4.30,0,2,15,"대졸(2,3년)",,이력서,서류전형 ＞ 스펙터 평판 요청 ＞1차 직무 인터뷰 ＞ 2차 컬쳐핏 인터뷰 ＞처우 및 입사일 협의 ＞ 입사완료,정규직,주 5일(월~금) 10:00~19:00,서울,강남,999,"데이터 사이언스, 컴퓨터 공학, 통계학, 수학, 데이터베이스, 머신러닝, 딥러닝, 생성형 AI, 데이터 시각화","문제 해결 능력, 비즈니스에 대한 깊은 이해","Python, R, SQL, Tableau, Power BI","AWS, 클라우드 환경, 데이터 처리, 데이터 분석, 자동화, 데이터 파이프라인 구축, 통계 모델링, 머신러닝, 딥러닝, HR 테크","실험 설계, 인과 추론, 인사이트 도출, 학구심, 적용 능력, 관련 전공","AWS, Airflow, Luigi",채용,2020,25,"5,546",중소기업,999,999,,홈페이지 지원,3.1,3.3,2.2,2.8,3.2,2.7,52,48,52,"연봉 업계 평균 이상, 지속 성장중인 기업, 수평적인 기업 문화 ,간식
 
 교육비
 
 택시비
 
 스타트업
 
 노트북
 
 리프레시휴가
 
 연봉상위11~20%
 
 인원급성장
 
 50명이하
 
 설립4~9년
 
 IT, 컨텐츠",12,22,https://www.wanted.co.kr/wd/215042
6,"원티드,잡코리아",데이터 분석가,"브레이브모바일(숨고,Soomgo)",Product Data Analyst,데이터 분석가,2024.05.05,1,4,10,학력 무관,,"• 제출 서류: 경력 중심의 이력서 (필수), 자기소개서, 포트폴리오 (선택)",• 채용 과정: 서류 전형 ＞ 과제 전형 ＞ 1차 인터뷰 ＞ 2차 인터뷰 ＞ 처우 협의 ＞ 최종 합격,정규직,주5일 (월~금) 09:00~18:00,서울,강남,999,"인하우스 데이터 분석, SQL, BI 툴, A/B 테스트, 로그 데이터 분석 ","Agile 조직 경험, 제품 분석 경험, 팀원들과의 커뮤니케이션 능력","SQL, Tableau, Redash","데이터 분석, Behavior Data, 사용자 행동 로그","분석 방법론, 스타트업 근무 경험, 가이드라인 제시, 이론적 지식, 관련 전공","Python, R, Amplitude",응용 소프트웨어 개발,2014,124,"5,005",중소기업,비상장,151.8억원,,즉시 지원,3.6,3.3,3.7,3.7,3.3,2.9,60,60,45,"연봉 업계 평균 이상, 지속 성장중인 기업, 퇴사율 10% 이하
  ,커피
 
 음료
 
 간식
 
 건강검진
 
 교육비
 
 노트북
 
 연봉업계평균이상
 
 51~300명
 
 설립10년이상
 
 퇴사율5%이하
 
 누적투자100억이상
 
 IT, 컨텐츠",52,57,https://www.wanted.co.kr/wd/200350
7,원티드/링크드인,데이터 분석가,에니아이(Aniai),Data Scientist,데이터 사이언티스트,상시채용,1,3,15,999,,"새로운 유형의 데이터에 대해 데이터 분석한 경험이 있다면 알려주세요. Pre-processing을 한 과정 및 모델 선정 과정, 모델 성능 평가)
Transient 데이터에 대해 분석해본 경험이 있다면 알려주세요. 특히 Digital signal processing 경험에 대해 자세히 알려주세요.","이력서, 포트폴리오
새로운 유형의 데이터에 대해 데이터 분석한 경험이 있다면 알려주세요. 
Pre-processing을 한 과정 및 모델 선정 과정, 모델 성능 평가)
Transient 데이터에 대해 분석해본 경험이 있다면 알려주세요. 
특히 Digital signal processing 경험에 대해 자세히 알려주세요.",정규직,풀타임,서울,성동,999,"데이터 분석, 데이터 전처리, 딥러닝, 딥러닝 모델 설계, 통계 분석, 데이터 분석 툴","경력 3년, 기술적 프레젠테이션, 의사 소통","Python, Matlab","데이터 분석, 통계 분석, 연구, 데이터베이스, 머신러닝, 딥러닝, 디지털 신호 처리, 주파수, 디지털 필터, 데이터 시각화","이론적 지식, 관련 전공, 박사","SVM, LDA, Tableau",응용 소프트웨어 개발,2020,31,"4,550",중소기업,999,999,,링크드인 지원,999,999,999,999,999,999,999,999,999,"요즘 뜨는 산업 ,인공지능
 
 IoT
 
 전문, 과학기술",10,24,https://www.wanted.co.kr/wd/191674/https://www.linkedin.com/jobs/search/?currentJobId=3893827474&geoId=105149562&keywords=Data%20Scientist&location=%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
8,원티드,데이터 분석가,아우름플래닛(Liner),프로덕트 데이터 분석가,데이터 분석가,2024.6.30,0,3,10,999,,999,999,정규직,999,서울,마포,999,"데이터 전처리 , 데이터 분석, 모델링, 통계학, 실험 인사이트","경력 3년, 협업, 데이터 스토리텔링","SQL, Python, R","데이터 마트, 데이터 마트 구축, 데이터 파이프라인 구축, 데이터 분석, 머신러닝, 딥러닝, 모델링, 개인화 AI","AI 에이전트 관심, 호기심, 건강한 프로덕트 가치관, 데이터 조직 확장, 분석 강점, 노하우",999,응용 소프트웨어 개발,2013,33,"5,146",스타트업,999,"3억 5,198만원",,999,999,999,999,999,999,999,999,999,999,"연봉 업계 평균 이상, 지속 성장중인 기업, 수평적인 기업 문화 ,간식
 
 스타트업
 
 인공지능
 
 연봉상위11~20%
 
 인원급성장
 
 50명이하
 
 설립10년이상
 
 IT, 컨텐츠",9,16,https://www.wanted.co.kr/wd/85810
9,"원티드,잡코리아",데이터 분석가,넥슨코리아,데이터 분석가 (FPS 게임 이상탐지),데이터 분석가,상시채용,1,1,20,학력 무관,,이력서,서류전형 - 과제전형 - 면접전형 - 최종합격,정규직,주 5일제,경기,성남,999,"이상 탐지,  ML, AI, 통계, 수학, 컴퓨터과학 분야 학위, 데이터 사이언스 ","팀워크, 커리어 개발 관심",없음,"시계열 데이터, 다변량 시계열 데이터 분류, 분류 모델, 이상 탐지, ML/DL 알고리즘 이해, 알고리즘 최적화","이상 탐지 프로젝트 참여 경험, 알고리즘 최적화, 문제 해결 능력",999,응용 소프트웨어 개발,1994,"3,756","6,082",대기업,비상장,3조 9000억,,홈페이지 지원,3.8,3.7,3.6,3.8,3.3,2.9,76,59,38,"연봉 업계 평균 이상, 지속 성장중인 기업, 퇴사율 10% 이하 ,보육시설\
 
 어학교육
 
 사내식당
 
 동호회
 
 인공지능
 
 연봉상위6~10%
 
 인원급성장
 
 1,001~10,000명
 
 설립10년이상
 
 퇴사율5%이하
 
 셔틀버스
 
 IT, 컨텐츠",476,641,https://www.wanted.co.kr/wd/215111
